dataset,hidden_size,hidden2_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
// The first 4 lines correspond to the best hyperparameters for each dataset
nadia,8,8,0.0007160392966260346,0.0003971039158381317,200,64,0.7607361963190185,0.7659574468085106,0.7311827956989247,0.14837338030338287,72
thomas,8,0,0.000462258900102083,0.00021233911067827617,200,32,0.7238493723849372,0.6470588235294118,0.6376811594202898,0.19880665838718414,28
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8490566037735849,0.868421052631579,0.88,0.14224940538406372,139
full,8,0,0.000462258900102083,0.00021233911067827617,200,32,0.8384615384615385,0.6216216216216216,0.7066666666666667,0.2073141634464264,74
// The rest of the lines correspond to the results for each dataset using boai's hyperparameters for 10 different seeds
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7576687116564417,0.7872340425531915,0.7204301075268817,0.15179438889026642,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7364016736401674,0.5882352941176471,0.7101449275362319,0.20899811387062073,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8490566037735849,0.868421052631579,0.88,0.14224940538406372,139
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7538461538461538,0.5135135135135135,0.64,0.2541063725948334,197
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.754601226993865,0.7021276595744681,0.7849462365591398,0.1804438680410385,165
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7071129707112971,0.5882352941176471,0.6811594202898551,0.27846968173980713,198
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8981132075471698,0.8947368421052632,0.8133333333333334,0.12753020226955414,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7653846153846153,0.6216216216216216,0.5466666666666666,0.2237478792667389,139
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7208588957055214,0.6382978723404256,0.7096774193548387,0.19963163137435913,190
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7447698744769874,0.7058823529411765,0.6811594202898551,0.22095994651317596,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.9169811320754717,0.9210526315789473,0.7066666666666667,0.12080000340938568,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.6538461538461539,0.6486486486486487,0.68,0.31170719861984253,200
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7423312883435583,0.6382978723404256,0.6666666666666666,0.21648383140563965,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7364016736401674,0.7058823529411765,0.5797101449275363,0.19143258035182953,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.9056603773584906,0.7368421052631579,0.7333333333333333,0.17974655330181122,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8,0.5135135135135135,0.7066666666666667,0.27538764476776123,170
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.745398773006135,0.6595744680851063,0.8279569892473119,0.22440539300441742,92
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7112970711297071,0.6470588235294118,0.6231884057971014,0.2830618917942047,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8603773584905661,0.7894736842105263,0.8666666666666667,0.17884846031665802,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7769230769230769,0.7027027027027027,0.6533333333333333,0.18740057945251465,195
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7883435582822086,0.5531914893617021,0.5913978494623656,0.2307301014661789,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.702928870292887,0.5882352941176471,0.7391304347826086,0.2209232896566391,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.879245283018868,0.8421052631578947,0.88,0.14564646780490875,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7884615384615384,0.4864864864864865,0.7466666666666667,0.2521703541278839,182
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7760736196319018,0.7446808510638298,0.7419354838709677,0.18965737521648407,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.6736401673640168,0.7941176470588235,0.6231884057971014,0.1712879091501236,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.9132075471698113,0.6842105263157895,0.8266666666666667,0.1935640573501587,184
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7615384615384615,0.6756756756756757,0.6533333333333333,0.2153218537569046,200
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7269938650306749,0.7659574468085106,0.6559139784946236,0.19021464884281158,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7154811715481172,0.7352941176470589,0.6811594202898551,0.19567234814167023,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8603773584905661,0.7894736842105263,0.76,0.1472901850938797,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7269230769230769,0.6216216216216216,0.6933333333333334,0.2767103612422943,200
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7085889570552147,0.7872340425531915,0.6881720430107527,0.154139906167984,175
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.694560669456067,0.6176470588235294,0.6666666666666666,0.20127063989639282,132
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8867924528301887,0.7105263157894737,0.8133333333333334,0.20461249351501465,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.6038461538461538,0.5675675675675675,0.6,0.26228025555610657,200
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7484662576687117,0.7446808510638298,0.7419354838709677,0.18459908664226532,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7573221757322176,0.7058823529411765,0.5797101449275363,0.19803394377231598,102
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8566037735849057,0.7894736842105263,0.8,0.15623772144317627,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7076923076923077,0.7567567567567568,0.68,0.1989920288324356,200
// The average test accuracy for each dataset using boai's hyperparameters are: 0.712903, 0.656522, 0.808000, 0.660000